data,produto,categoria,quantidade,preco_unitario,valor_total,regiao,canal_venda
2025-01-07,Areia Sanitaria Gato 4kg,Pet Shop,2,39.39,78.78,Centro-Oeste,Marketplace
2025-01-08,HQ Colecao Marvel,Livros,1,30.06,30.06,Sudeste,Marketplace
2025-01-09,Fone de Ouvido Bluetooth,Eletronicos,2,125.62,251.24,Sul,Marketplace
2025-01-15,Smart TV 50 polegadas,Eletronicos,1,2331.66,2331.66,Norte,Marketplace
2025-01-17,Smartphone Galaxy A54,Eletronicos,1,1776.39,1776.39,Norte,Site
2025-01-20,Smart TV 50 polegadas,Eletronicos,1,2232.98,2232.98,Nordeste,Loja Fisica
2025-01-23,Kit Maquiagem Completo,Beleza e Cuidados,1,148.93,148.93,Centro-Oeste,Site
2025-01-23,Smartphone Galaxy A54,Eletronicos,1,1849.30,1849.30,Nordeste,Aplicativo
2025-01-23,HQ Colecao Marvel,Livros,2,29.59,59.18,Norte,Aplicativo
2025-01-26,Livro Ficcao Best Seller,Livros,4,53.89,215.56,Sudeste,Aplicativo
2025-01-30,Bicicleta Aro 29,Esportes,1,1399.13,1399.13,Norte,Site
2025-02-01,Jogo de Panelas,Casa e Decoracao,4,362.68,1450.72,Sudeste,Aplicativo
2025-02-04,Brinquedo Pet Interativo,Pet Shop,1,46.16,46.16,Norte,Aplicativo
2025-02-06,Notebook Dell Inspiron,Eletronicos,1,3311.97,3311.97,Norte,Marketplace
2025-02-07,Bola de Futebol,Esportes,1,81.55,81.55,Sul,Marketplace
2025-02-11,Whey Protein 900g,Esportes,2,147.60,295.20,Nordeste,Aplicativo
2025-02-13,Jaqueta Corta Vento,Vestuario,4,178.31,713.24,Norte,Aplicativo
2025-02-14,Tenis Esportivo,Vestuario,1,265.16,265.16,Centro-Oeste,Loja Fisica
2025-02-16,Perfume Importado 100ml,Beleza e Cuidados,1,268.89,268.89,Sul,Loja Fisica
2025-02-17,Jogo de Panelas,Casa e Decoracao,4,327.32,1309.28,Norte,Marketplace
2025-02-21,Ração Premium Cachorro 15kg,Pet Shop,1,171.10,171.10,Sul,Marketplace
2025-02-22,Livro Autoajuda,Livros,2,41.44,82.88,Norte,Loja Fisica
2025-03-09,Livro Autoajuda,Livros,2,40.83,81.66,Sudeste,Site
2025-03-21,Calca Jeans Skinny,Vestuario,6,125.67,754.02,Norte,Site
2025-03-26,Jogo de Panelas,Casa e Decoracao,2,322.03,644.06,Centro-Oeste,Marketplace
2025-03-26,Ração Premium Cachorro 15kg,Pet Shop,1,178.96,178.96,Norte,Site
2025-03-27,Cortina Blackout,Casa e Decoracao,1,129.60,129.60,Centro-Oeste,Site
2025-03-27,Colchonete Yoga,Esportes,3,71.10,213.30,Sudeste,Aplicativo
2025-04-09,Calca Jeans Skinny,Vestuario,1,130.65,130.65,Sul,Marketplace
2025-04-09,Cortina Blackout,Casa e Decoracao,2,133.33,266.66,Sul,Marketplace
2025-04-09,Calca Jeans Skinny,Vestuario,1,134.86,134.86,Norte,Marketplace
2025-04-13,Ração Premium Cachorro 15kg,Pet Shop,1,166.09,166.09,Sul,Loja Fisica
2025-04-18,Livro Autoajuda,Livros,1,38.30,38.30,Norte,Loja Fisica
2025-04-19,Livro Ficcao Best Seller,Livros,5,49.89,249.45,Centro-Oeste,Aplicativo
2025-04-19,Halteres 10kg Par,Esportes,3,208.06,624.18,Nordeste,Loja Fisica
2025-04-23,Camiseta Basica Algodao,Vestuario,3,41.84,125.52,Centro-Oeste,Site
2025-04-23,Tenis Esportivo,Vestuario,1,247.33,247.33,Nordeste,Loja Fisica
2025-04-24,Calca Jeans Skinny,Vestuario,2,136.48,272.96,Nordeste,Aplicativo
2025-04-25,Smartphone Galaxy A54,Eletronicos,2,1948.55,3897.10,Nordeste,Site
2025-04-29,Jogo de Panelas,Casa e Decoracao,3,360.76,1082.28,Sudeste,Loja Fisica
2025-04-29,Smart TV 50 polegadas,Eletronicos,1,2276.86,2276.86,Norte,Aplicativo
2025-04-30,Areia Sanitaria Gato 4kg,Pet Shop,1,37.35,37.35,Nordeste,Aplicativo
2025-05-03,Notebook Dell Inspiron,Eletronicos,2,3353.93,6707.86,Sudeste,Site
2025-05-05,Shampoo e Condicionador,Beleza e Cuidados,2,59.64,119.28,Sudeste,Site
2025-05-05,Caixa de Som JBL,Eletronicos,1,358.64,358.64,Sudeste,Loja Fisica
2025-05-06,Whey Protein 900g,Esportes,4,162.75,651.00,Centro-Oeste,Loja Fisica
2025-05-07,Jaqueta Corta Vento,Vestuario,1,176.65,176.65,Norte,Aplicativo
2025-05-09,Brinquedo Pet Interativo,Pet Shop,1,53.16,53.16,Centro-Oeste,Marketplace
2025-05-10,Areia Sanitaria Gato 4kg,Pet Shop,4,39.76,159.04,Centro-Oeste,Loja Fisica
2025-05-13,Perfume Importado 100ml,Beleza e Cuidados,3,278.18,834.54,Norte,Loja Fisica
2025-05-14,Calca Jeans Skinny,Vestuario,1,133.43,133.43,Nordeste,Loja Fisica
2025-05-15,Bicicleta Aro 29,Esportes,2,1562.77,3125.54,Sudeste,Marketplace
2025-05-16,Caixa de Som JBL,Eletronicos,2,335.72,671.44,Nordeste,Loja Fisica
2025-05-16,Smart TV 50 polegadas,Eletronicos,3,2336.12,7008.36,Sul,Marketplace
2025-05-17,Camiseta Basica Algodao,Vestuario,1,41.73,41.73,Sudeste,Loja Fisica
2025-05-20,Sofa 3 Lugares,Casa e Decoracao,2,1844.22,3688.44,Sul,Aplicativo
2025-05-23,Livro Autoajuda,Livros,2,39.81,79.62,Norte,Loja Fisica
2025-05-23,Luminaria de Mesa,Casa e Decoracao,2,91.94,183.88,Norte,Marketplace
2025-05-25,Colchonete Yoga,Esportes,1,66.66,66.66,Nordeste,Loja Fisica
2025-05-26,Bicicleta Aro 29,Esportes,3,1539.22,4617.66,Sudeste,Aplicativo
2025-05-30,Notebook Dell Inspiron,Eletronicos,3,3348.67,10046.01,Centro-Oeste,Site
2025-06-06,Bola de Futebol,Esportes,3,81.45,244.35,Sudeste,Aplicativo
2025-06-09,Smart TV 50 polegadas,Eletronicos,5,2226.68,11133.40,Norte,Loja Fisica
2025-06-10,Notebook Dell Inspiron,Eletronicos,2,3247.15,6494.30,Norte,Aplicativo
2025-06-11,Jogo de Panelas,Casa e Decoracao,1,336.90,336.90,Norte,Marketplace
2025-06-15,Colchonete Yoga,Esportes,1,67.11,67.11,Norte,Site
2025-06-17,Sofa 3 Lugares,Casa e Decoracao,2,1978.37,3956.74,Centro-Oeste,Marketplace
2025-06-20,Sofa 3 Lugares,Casa e Decoracao,5,1950.69,9753.45,Nordeste,Loja Fisica
2025-06-22,Smartphone Galaxy A54,Eletronicos,1,1898.17,1898.17,Centro-Oeste,Aplicativo
2025-06-24,Tenis Esportivo,Vestuario,6,236.12,1416.72,Nordeste,Site
2025-06-27,Halteres 10kg Par,Esportes,2,197.61,395.22,Norte,Marketplace
2025-07-01,Shampoo e Condicionador,Beleza e Cuidados,1,57.58,57.58,Norte,Marketplace
2025-07-06,Cortina Blackout,Casa e Decoracao,3,120.96,362.88,Nordeste,Marketplace
2025-07-09,Luminaria de Mesa,Casa e Decoracao,1,85.72,85.72,Sudeste,Aplicativo
2025-07-09,Vestido Casual,Vestuario,4,94.43,377.72,Nordeste,Site
2025-07-19,Brinquedo Pet Interativo,Pet Shop,6,52.05,312.30,Sudeste,Loja Fisica
2025-07-21,Bola de Futebol,Esportes,1,80.72,80.72,Centro-Oeste,Aplicativo
2025-07-23,HQ Colecao Marvel,Livros,2,28.46,56.92,Sul,Site
2025-07-27,Halteres 10kg Par,Esportes,1,210.57,210.57,Sul,Loja Fisica
2025-07-28,Sofa 3 Lugares,Casa e Decoracao,2,1911.95,3823.90,Sul,Loja Fisica
2025-07-31,Smartphone Galaxy A54,Eletronicos,5,1802.43,9012.15,Centro-Oeste,Aplicativo
2025-08-05,HQ Colecao Marvel,Livros,10,32.09,320.90,Norte,Loja Fisica
2025-08-06,Smart TV 50 polegadas,Eletronicos,3,2214.68,6644.04,Nordeste,Aplicativo
